,loss,accuracy,val_loss,val_accuracy
0,0.836336612701416,0.632031261920929,0.6410397887229919,0.7681249976158142
1,0.5268063545227051,0.7887499928474426,0.4269234538078308,0.8475000262260437
2,0.3865710198879242,0.8479687571525574,0.2968490719795227,0.8912500143051147
3,0.2946596145629883,0.8848437666893005,0.259391725063324,0.9043750166893005
4,0.24069815874099731,0.9082812666893005,0.330298513174057,0.8618749976158142
5,0.20400315523147583,0.9200000166893005,0.21162401139736176,0.9125000238418579
6,0.1801214963197708,0.9306250214576721,0.2195296436548233,0.9081249833106995
7,0.15357442200183868,0.9399999976158142,0.23190785944461823,0.9056249856948853
8,0.1476949155330658,0.9439062476158142,0.19569845497608185,0.9262499809265137
9,0.13205114006996155,0.9465625286102295,0.1814626306295395,0.9300000071525574
