,loss,accuracy,val_loss,val_accuracy
0,0.7128413915634155,0.6928125023841858,0.4341050684452057,0.8025000095367432
1,0.4079464077949524,0.8267187476158142,0.3082873523235321,0.878125011920929
2,0.2996194362640381,0.882031261920929,0.26581907272338867,0.8931249976158142
3,0.22821155190467834,0.9106249809265137,0.20808309316635132,0.9243749976158142
4,0.1954008936882019,0.9223437309265137,0.21920360624790192,0.9156249761581421
5,0.1686469316482544,0.9337499737739563,0.2086080014705658,0.9156249761581421
6,0.14066141843795776,0.9449999928474426,0.17490039765834808,0.9368749856948853
7,0.12877970933914185,0.9506250023841858,0.1776372194290161,0.9331250190734863
8,0.10141178220510483,0.9642187356948853,0.16732583940029144,0.9293749928474426
9,0.09356812387704849,0.9664062261581421,0.1707211285829544,0.9350000023841858
